coremark, 68556, 49, 5977098
mibench-basicmath_tiny, 87720, 49, 21990390
mibench-bitcnts, 49312, 31, 50939444
mibench-cjpeg_small, 89216, 93, 57842039
mibench-crc_32, 51236, 28, 21743560
mibench-csusan_small, 116704, 55, 2237760
mibench-dbf, 15484, 20, 82674035
mibench-dijkstra_small, 53420, 32, 80387806
mibench-djpeg_small, 96092, 86, 15796083
mibench-drijndael, 26560, 22, 64740176
mibench-ebf, 15484, 20, 82954024
mibench-erijndael, 27248, 23, 70705505
mibench-esusan_small, 117660, 58, 4182980
mibench-fft_tiny, 116868, 59, 6583893
mibench-ifft_tiny, 116224, 58, 6387644
mibench-patricia, 71644, 32, 201902837
mibench-qsort_small, 58668, 29, 47710636
mibench-rawcaudio, 2128, 6, 73413348
mibench-rawdaudio, 2064, 6, 55339158
mibench-rsynth_tiny, 92944, 52, 39549516
mibench-search_large, 46692, 19, 12904076
mibench-search_small, 46712, 19, 526094
mibench-sha, 52332, 24, 24033031
mibench-ssusan_small, 116256, 53, 31799491
mrtc-adpcm, 8300, 11, 2236195
mrtc-bsort100, 1264, 6, 177137
mrtc-bs, 1112, 6, 627
mrtc-cnt, 2088, 6, 3826
mrtc-compress, 2172, 6, 7071
mrtc-cover, 1328, 6, 1592
mrtc-crc, 1620, 7, 15169
mrtc-duff, 1032, 6, 1055
mrtc-edn, 2968, 7, 48627
mrtc-expint, 1448, 8, 77412
mrtc-fac, 1000, 6, 546
mrtc-fdct, 2012, 6, 2808
mrtc-fft1, 9444, 16, 45659
mrtc-fibcall, 1000, 6, 546
mrtc-fir, 1272, 6, 2597
mrtc-insertsort, 1256, 6, 1884
mrtc-janne_complex, 1124, 6, 804
mrtc-jfdctint, 2200, 6, 4525
mrtc-lcdnum, 1308, 6, 919
mrtc-lms, 17448, 27, 5250931
mrtc-loop3, 1000, 6, 546
mrtc-ludcmp, 11092, 15, 48510
mrtc-matmult, 1452, 6, 104221
mrtc-minmax, 1368, 7, 792
mrtc-minver, 9728, 16, 11698
mrtc-ndes, 4464, 7, 33550
mrtc-nsichneu, 30568, 6, 16569
mrtc-ns, 1224, 6, 9686
mrtc-qsort-exam, 2544, 10, 5022
mrtc-qurt, 10680, 19, 25066
mrtc-recursion, 1228, 7, 3171
mrtc-select, 2540, 11, 5398
mrtc-sqrt, 1000, 6, 546
mrtc-statemate, 800, 7, 624
mrtc-ud, 5924, 13, 13654
