'32, SCC 32', 'coremark', 'coremark', 7053377, 6063828
'128, SCC 128', 'coremark', 'coremark', 6796402, 6063828
'192, SCC 192', 'coremark', 'coremark', 6651580, 6063828
'256, SCC 256', 'coremark', 'coremark', 6621688, 6063828
'512, SCC 512', 'coremark', 'coremark', 6720793, 6063828
'1024, SCC 1024', 'coremark', 'coremark', 6473834, 6063828
'32, SCC 32', 'mibench', 'basicmath_tiny', 89553193, 38166966
'128, SCC 128', 'mibench', 'basicmath_tiny', 54198817, 38166966
'192, SCC 192', 'mibench', 'basicmath_tiny', 53053137, 38166966
'256, SCC 256', 'mibench', 'basicmath_tiny', 58883715, 38166966
'512, SCC 512', 'mibench', 'basicmath_tiny', 69406769, 38166966
'1024, SCC 1024', 'mibench', 'basicmath_tiny', 110605812, 38166966
'32, SCC 32', 'mibench', 'bitcnts', 56008162, 50949460
'128, SCC 128', 'mibench', 'bitcnts', 50973733, 50949460
'192, SCC 192', 'mibench', 'bitcnts', 50978122, 50949460
'256, SCC 256', 'mibench', 'bitcnts', 50976145, 50949460
'512, SCC 512', 'mibench', 'bitcnts', 50985952, 50949460
'1024, SCC 1024', 'mibench', 'bitcnts', 50998988, 50949460
'32, SCC 32', 'mibench', 'cjpeg_small', 63446003, 58603241
'128, SCC 128', 'mibench', 'cjpeg_small', 63157920, 58603241
'192, SCC 192', 'mibench', 'cjpeg_small', 62215219, 58603241
'256, SCC 256', 'mibench', 'cjpeg_small', 62248040, 58603241
'512, SCC 512', 'mibench', 'cjpeg_small', 60856200, 58603241
'1024, SCC 1024', 'mibench', 'cjpeg_small', 59024247, 58603241
'32, SCC 32', 'mibench', 'crc_32', 24848468, 21737039
'128, SCC 128', 'mibench', 'crc_32', 24501896, 21737039
'192, SCC 192', 'mibench', 'crc_32', 24838179, 21737039
'256, SCC 256', 'mibench', 'crc_32', 24838551, 21737039
'512, SCC 512', 'mibench', 'crc_32', 22782022, 21737039
'1024, SCC 1024', 'mibench', 'crc_32', 22439409, 21737039
'32, SCC 32', 'mibench', 'csusan_small', 5859034, 3354992
'128, SCC 128', 'mibench', 'csusan_small', 4787895, 3354992
'192, SCC 192', 'mibench', 'csusan_small', 4583701, 3354992
'256, SCC 256', 'mibench', 'csusan_small', 4507646, 3354992
'512, SCC 512', 'mibench', 'csusan_small', 4826293, 3354992
'1024, SCC 1024', 'mibench', 'csusan_small', 7200683, 3354992
'32, SCC 32', 'mibench', 'dbf', 89235093, 83010154
'128, SCC 128', 'mibench', 'dbf', 88281981, 83010154
'192, SCC 192', 'mibench', 'dbf', 88992109, 83010154
'256, SCC 256', 'mibench', 'dbf', 87736283, 83010154
'512, SCC 512', 'mibench', 'dbf', 85861854, 83010154
'1024, SCC 1024', 'mibench', 'dbf', 84452454, 83010154
'32, SCC 32', 'mibench', 'dijkstra_small', 104376776, 80760884
'128, SCC 128', 'mibench', 'dijkstra_small', 87568086, 80760884
'192, SCC 192', 'mibench', 'dijkstra_small', 87527092, 80760884
'256, SCC 256', 'mibench', 'dijkstra_small', 87224749, 80760884
'512, SCC 512', 'mibench', 'dijkstra_small', 87178842, 80760884
'1024, SCC 1024', 'mibench', 'dijkstra_small', 88120963, 80760884
'32, SCC 32', 'mibench', 'djpeg_small', 18373968, 16223579
'128, SCC 128', 'mibench', 'djpeg_small', 17437588, 16223579
'192, SCC 192', 'mibench', 'djpeg_small', 17982419, 16223579
'256, SCC 256', 'mibench', 'djpeg_small', 17316598, 16223579
'512, SCC 512', 'mibench', 'djpeg_small', 17296859, 16223579
'1024, SCC 1024', 'mibench', 'djpeg_small', 17442629, 16223579
'32, SCC 32', 'mibench', 'drijndael', 151791958, 130041179
'128, SCC 128', 'mibench', 'drijndael', 146513320, 130041179
'192, SCC 192', 'mibench', 'drijndael', 146989004, 130041179
'256, SCC 256', 'mibench', 'drijndael', 146537646, 130041179
'512, SCC 512', 'mibench', 'drijndael', 143628084, 130041179
'1024, SCC 1024', 'mibench', 'drijndael', 154354427, 130041179
'32, SCC 32', 'mibench', 'ebf', 91660829, 83610988
'128, SCC 128', 'mibench', 'ebf', 90659624, 83610988
'192, SCC 192', 'mibench', 'ebf', 91327805, 83610988
'256, SCC 256', 'mibench', 'ebf', 90053615, 83610988
'512, SCC 512', 'mibench', 'ebf', 88184976, 83610988
